NM_MUNICIP,CD_GEOCMU,latitude,longitude,COD_TSE
ESTRELA D'OESTE,3515202,-20.265575592381314,-50.411680195772725,74063
ESTRELA DO NORTE,3515301,-22.48605286896468,-51.66882732646446,77313
EUCLIDES DA CUNHA PAULISTA,3515350,-22.51907971961317,-52.58884311088821,77330
FARTURA,3515400,-23.390456581517874,-49.52019006195668,77356
FERNANDÓPOLIS,3515509,-20.27187730919871,-50.2830089991384,77372
FERNANDO PRESTES,3515608,-21.30999133712498,-48.69561516098034,77399
FERNÃO,3515657,-22.366142290140285,-49.542931239120506,77410
FERRAZ DE VASCONCELOS,3515707,-23.561310914093127,-46.37348710351202,77437
FLORA RICA,3515806,-21.69838623298725,-51.374185066906136,77453
FLOREAL,3515905,-20.669511394458638,-50.15445636555649,77470
FLÓRIDA PAULISTA,3516002,-21.53967215762988,-51.17047941855776,77496
FLORÍNEA,3516101,-22.88097554826204,-50.69479554420582,74624
FRANCA,3516200,-20.555113704850246,-47.38157255057677,77518
FRANCISCO MORATO,3516309,-23.273747150451694,-46.72360121226809,77534
FRANCO DA ROCHA,3516408,-23.31403716660514,-46.73641596699651,77550
GABRIEL MONTEIRO,3516507,-21.49939538017932,-50.56467587046525,77577
GÁLIA,3516606,-22.320066278911252,-49.57716618891678,75507
GARÇA,3516705,-22.230839249373354,-49.689631808458,79693
GASTÃO VIDIGAL,3516804,-20.803856112001288,-50.20292335387197,77593
GAVIÃO PEIXOTO,3516853,-21.791385396209574,-48.447551274883565,77615
GENERAL SALGADO,3516903,-20.638731783815704,-50.41567353699394,75043
GETULINA,3517000,-21.783341540598393,-50.027399834249536,74640
GLICÉRIO,3517109,-21.340311537987304,-50.1987883926898,77631
GUAIÇARA,3517208,-21.569703128224525,-49.76276852158814,77658
GUAIMBÊ,3517307,-21.878484790934095,-49.860465564751614,77674
GUAÍRA,3517406,-20.314103454849878,-48.36404797071696,77690
GUAPIAÇU,3517505,-20.742373079749527,-49.18954175522481,77712
GUAPIARA,3517604,-24.21251795723961,-48.555323087742316,74667
GUARÁ,3517703,-20.48240980839583,-47.775021907687034,77739
GUARAÇAÍ,3517802,-21.085901711697787,-51.27899895496501,77755
GUARACI,3517901,-20.37465163027337,-49.00265300808629,77771
